Borough,Site Name,Site Address,Postcode,Type of Site,Grid ref easting,Grid ref northing,Open to Public,Opening times,Site Ref
Barking & Dagenham,Barking Abbey Ruins,"Abbey Road, Barking, Essex",IG11,Public Gardens,544040,183920,Yes,unrestricted,BAD001
Barking & Dagenham,Barking Park,"Longbridge Road, Barking, Essex",IG11 8TA,Public Park,544770,185000,Yes,7.30am - dusk,BAD002
Barking & Dagenham,Becontree Heath,"Wood Lane, Dagenham, Essex",RM8 1JX,Private Open Land,549423,187274,Yes,7.30am-9pm,BAD003
Barking & Dagenham,Central Area Open Space (North and South),"Abbey Road, Barking, Essex",IG11,Public Park,544040,183920,Yes,unrestricted,BAD004
Barking & Dagenham,Central Park,"Wood Lane/Rainham Road North, Dagenham, Essex",RM7/RM8,Public Park,550048,186764,Yes,7.15am - dusk,BAD005
Barking & Dagenham,Chadwell Heath Cemetery,"Whalebone Lane North, Dagenham, Essex",RM6 5LD,Cemetery,548330,189650,Yes,"1 Oct-31 Mar:10am-4.30pm M-F/10am-4pm Sat, Sun, BH; 1 Apr-30 Sept:10am-7pm M-F/10am-6pm Sat, Sun, BH.",BAD006
Barking & Dagenham,Eastbrookend Cemetery,"The Chase, off Dagenham Road, Dagenham, Essex",RM7 0YU,Cemetery,551360,186295,Yes,"Mon-Fri 10-4.30 (Oct-Mar) / 7 (Apr-Sept). Sat, Sun, BH: 10-4 Oct-Mar) / 6 (Apr-Sept)",BAD007
Barking & Dagenham,Eastbrookend Country Park,"The Chase, off Dagenham Road, Dagenham, Essex",RM7 0SS,Public Park,550975,186021,Yes,unrestricted to park. Millennium Centre: April-Sept 10am-5pm  (weekends 1-5pm); Oct to March 10am-4pm (weekends 1-4pm),BAD007a
Barking & Dagenham,Eastbury Manor House,"Eastbury Square, Sisley Road, Barking",IG11 9SN,Public Gardens,545716,183817,Yes,"10am-4pm Mon, Tues and 1st & 2nd Sat of ea month. Closed BH Mon, 28 & 29 Dec",BAD008
Barking & Dagenham,Goresbrook Park,"Dagenham Avenue/Goresbrook Road/Hedgemans Road, Barking",RM9,Public Park,548438,184022,Yes,unrestricted,BAD009
Barking & Dagenham,Greatfields Park,"Greatfields Road/Movers Lane, Barking",IG11,Public Park,545086,183436,Yes,7.15am to dusk,BAD010
Barking & Dagenham,Heath Park Open Space,"Heath Park Estate, Rusholme Avenue/Uvedale Road, Dagenham",RM8,Housing/Estate Landscaping,549282,186373,Yes,unrestricted to public areas of estate,BAD011
Barking & Dagenham,King George's Field,"Marsh Green Road/Baddow Close, Dagenham",RM10,Public Park,549280,183660,Yes,7.15am - dusk,BAD012
Barking & Dagenham,Mayesbrook Park,"Lodge Avenue, Barking, Essex",RM8,Public Park,546373,184865,Yes,unrestricted,BAD013
Barking & Dagenham,Newlands Park,"Roxwell Road, Thames View, Barking",IG11,Public Park,546500,183200,Yes,unrestricted,BAD014
Barking & Dagenham,Old Dagenham Park,"Vicarage Road/Ballards Road/Siviter Way, Dagenham",RM10,Public Park,549714,184155,Yes,unrestricted - a public footpath runs through the park,BAD015
Barking & Dagenham,Parsloes Park,"Gale Street/Parsloes Avenue, Dagenham, Essex",RM9,Public Park,548007,184979,Yes,unrestricted,BAD016
Barking & Dagenham,Pondfield Park,"Pondfield Road/Reade Road, Dagenham, Essex",RM10,Public Park,549853,185139,Yes,unrestricted,BAD017
Barking & Dagenham,Quaker Gardens,"North Street/Harts Lane, Barking, Essex",IG11,Public Gardens,543962,184376,Yes,unrestricted,BAD018
Barking & Dagenham,Rippleside Cemetery,"Ripple Road, Barking, Essex",IG11 9PF,Cemetery,546244,183907,Yes,1 Oct-31 Mar: M-F 10-4.30; S/S/BH 10-4; 1 Apr-30 Sept: M-F 10-7; S/S/BH 10-6,BAD019
Barking & Dagenham,St Chad's Park,"Japan Road, off High Road, Chadwell Heath",RM6 6UB,Public Park,547822,188374,Yes,7.15am - dusk,BAD020
Barking & Dagenham,"St Margaret's Churchyard, Barking","The Broadway, Barking, Essex",IG11,Churchyard,544043,183901,Yes,churchyard unrestricted? Church open daily 8am-5pm,BAD021
Barking & Dagenham,St Peter and St Paul's Churchyard,"Church Lane, Dagenham",RM10 9YX,Churchyard,550059,"184470
184470",Yes,unrestricted,BAD022
Barking & Dagenham,The Leys,"Ballards Road, Dagenham",RM10,Public Open Land,550035,183906,Yes,unrestricted,BAD023
Barking & Dagenham,Valence House Grounds and Valence Park,"Becontree Avenue/Valence Wood Road, Dagenham, Essex",RM8,Public Park;,548173,186439,Yes,7.15am - dusk. House & grounds closed until late June 2010 for major refurbishment.,BAD024
Barnet,All Saints' Friern Barnet,"Oakleigh Road North/Myddelton Road, Friern Barnet",N20 9JU,Churchyard,"527010
527000",193845,Yes,unrestricted,BAR001
Barnet,Arrandene Open Space,"Wise Lane/Wills Grove/Milespit Hill, Mill Hill",NW7 2RS,Public Open Land,522641,191980,Yes,unrestricted,BAR002
Barnet,Barnet Gate Wood,"Hendon Wood Lane, Barnet Gate",NW7,Public Open Land,521550,194850,Yes,unrestricted,BAR004
Barnet,Basing Hill Park,Hendon Way/Wayside,NW11 8TJ,Public Park,524430,187020,Yes,unrestricted,BAR005
Barnet,Bells Hill Burial Ground,"Bells Hill, Chipping Barnet",EN5 2SJ,Cemetery,523611,195975,Yes,main gate: 9am-5pm; lower gate on Bells Hill: 9am-8.30pm or dusk if earlier,BAR006
Barnet,Belmont Mill Hill Preparatory School,"The Ridgeway, Mill Hill",NW7 4ED,Institutional Grounds,522377,193042,No,private,BAR007
Barnet,"Big Wood, Hampstead Garden Suburb",Temple Fortune Hill/Denman Drive South/Oakwood Road/Northway,NW11 6GZ,Public Open Land,525570,188738,Yes,unrestricted,BAR008
Barnet,Brent Park,"North Circular Road/Bell Lane/Brent Street, Hendon",NW4 2LT,Public Park,524018,188816,Yes,unrestricted,BAR009
Barnet,Burroughs Common War Memorial,"Watford Way/The Burroughs, Hendon",NW4,Public Gardens,522688,188913,Yes,unrestricted,BAR010
Barnet,"Central Square, Hampstead Garden Suburb","Central Square/Northway, Hampstead Garden Suburb",NW11 7AG,Public Gardens,525485,188417,Yes,unrestricted,BAR011
Barnet,Cherry Tree Wood,"Cherry Tree Road/Brompton Grove/Summerlee Avenue/Fordington Road, East Finchley",N2 9QH,Public Park,527566,189056,Yes,"unrestricted. Café open daily in summer, November-April weekends only.",BAR012
Barnet,Childs Hill Park,"Granville Road/Hodford Road/Nant Road, Childs Hill",NW2 2AT,Public Park,524787,186194,Yes,unrestricted,BAR013
Barnet,Christ Church Barnet,"St Albans Road, High Barnet",EN5 4LA,Churchyard,524316,"197078
197078",Yes,unrestricted,BAR014
Barnet,Church Farmhouse Museum Gardens,"Greyhound Hill, Church End, Hendon",NW4 4JR,Public Gardens,522810,189560,Yes,Grounds unrestricted; Museum: Mon-Th 10am-12.30/1.30-5pm; Sat: 10am-1/2-5.30pm; Sun 2-5.30pm,BAR015
Barnet,Coppett's Wood and Scrublands Local Nature Reserve,"Colney Hatch Lane, Friern Barnet",N12 0LT,Public Open Land,527650,191650,Yes,unrestricted,BAR016
Barnet,Cricklewood Railway Terraces,"Gratton, Midland, Johnston, Needham & Campion Terraces, Cricklewood",NW2,Housing/Estate Landscaping,523590,186080,Partially,playground unrestricted; communal gardens private - for residents' use (although not locked),BAR017
Barnet,Darlands Lake Nature Reserve,"The Close, Totteridge Village",N20 8PJ,Public Open Land,524620,193950,Yes,access may be restricted; contact Wildlife Trust for information,BAR019
Barnet,East Finchley Cemetery and St Marylebone Crematorium *,"East End Road/North Circular Road, Finchley",N2 0RZ,Cemetery,525908,189597,Yes,"Mon-Fri 8.30am-4.30pm (Nov-Feb), -6pm (Mar-Oct); Sat/Sun/BH: 11am-4pm (Nov-Feb), -6pm (Mar-Oct)",BAR020
Barnet,Edgwarebury Cemetery,"Edgwarebury Lane, Edgware, Middlesex",HA8 8QP,Cemetery,519255,193908,Yes,"Open from 8:30am every day, closes 2 hours before Shabbat on Fridays, Winter 9am - 4pm (Sunday to Thursday).",BAR021
Barnet,Edgwarebury Park,Edgware Way/Parkside Drive/Edgwarebury Lane,HA8 8QP,Public Park,518920,193330,Yes,8am - dusk,BAR022
Barnet,Finchley Golf Course,"Frith Lane, Mill Hill (Lovers' Walk from Brent Way/Gordon Road)",NW7,Private Open Land,524630,191680,By appointment only,Visits may be arranged with Secretary in advance,BAR023
Barnet,Friary Park,"Friern Barnet Lane/Torrington Park/Friary Road, Friern Barnet",N12 9PD,Public Park,527317,"192681
192681",Yes,unrestricted,BAR024
Barnet,Golders Green Cemetery (Hoop Lane Cemetery West and Hoop Lane Cemetery East),Hoop Lane,NW11 7NL,Cemetery,525182,188133,Yes,"Winter: Sunday to Thursday 8am-4pm, Friday to 2 hours before Shabbat; Summer: Sunday to Friday 8am-5pm.",BAR025
Barnet,Golders Green Crematorium *,"Hoop Lane, Golders Green",NW11 7NL,Cemetery,525350,187933,Yes,grounds open daily: 9am-4pm (winter)/6pm (summer),BAR026
